Hash,Name,Category Name,Year,File,Resolution,Language,Subtitled,URL,Image,Adult,Genre,Overview,Original Title,Original Language,Release Date,Popularity,Certification Average,Certification Category,Published Date
fd60eee547,Suky,PELICULAS,2025,Suky.2025.1080psub.mp4,1080p,Desconocido,true,https://www.innovatv.store/contenido/PELICULAS/Suky/Suky.2025.1080psub.mp4,https://image.tmdb.org/t/p/original/yE55btmVfl8Q9uUm61Tj7xVkM44.jpg,false,"Acción,Drama",,Suky,en,2025-03-07,3.46,0,Infantil,2025-03-14T15:52:06.058Z
55c15b5c21,Séance Games - Metaxu,PELICULAS,2024,Seance.Games.Metaxu.2024.1080p.sub.mp4,1080p,Desconocido,true,https://www.innovatv.store/contenido/PELICULAS/Seance Games Metaxu/Seance.Games.Metaxu.2024.1080p.sub.mp4,https://image.tmdb.org/t/p/original/4CfL5wy0srwNLi6hP9EZVwSAX41.jpg,false,"Terror,Suspense,Crimen",,Séance Games - Metaxu,en,2024-02-13,0.2,,Desconocido,2025-03-14T15:52:07.815Z
11be6ec7bf,Trump: la campaña definitiva,PELICULAS,2024,Trump.The.Criminal.Conspiracy.Case.2024.1080p.sub.mp4,1080p,Desconocido,true,https://www.innovatv.store/contenido/PELICULAS/Trump The Criminal Conspiracy Case/Trump.The.Criminal.Conspiracy.Case.2024.1080p.sub.mp4,https://image.tmdb.org/t/p/original/iglQAfChFU4vWSSi2NdGG2s1FEi.jpg,false,Documental,"En 2016, Donald Trump desafió todas las expectativas al convertirse en presidente de los Estados Unidos. Tras perder las elecciones de 2020, intentó revertir los resultados democráticos. Ahora, este documental sigue su campaña definitiva. El año 2024 ha sido especialmente caótico para Trump, enfrentando la presión de la campaña, casos judiciales pendientes, el cambio de rival presidencial tras la retirada de Biden y enfrentamientos con fiscales federales y antiguos adversarios. A través de testimonios de su círculo más cercano, este largometraje documental emitido en BBC Two muestra cómo Trump busca el voto de un electorado cada vez más polarizado mientras se defiende de sus últimos escándalos y demandas. Esta producción de 72 Films captura toda la acción a medida que se desarrolla, mientras Trump redobla sus esfuerzos por recuperar el título de la persona más poderosa del mundo, ofreciendo una visión interna del hombre que continúa sacudiendo la política estadounidense.",Trump: The Criminal Conspiracy Case,en,2024-10-23,0.2,7,7+,2025-03-14T15:52:09.623Z
1affdd5864,Ride the Snake,PELICULAS,2025,Ride.The.Snake.2025.1080p.sub.mp4,1080p,Desconocido,true,https://www.innovatv.store/contenido/PELICULAS/Ride The Snake/Ride.The.Snake.2025.1080p.sub.mp4,https://image.tmdb.org/t/p/original/sXVuR2G7ohLzfOBGDarjpM1SRCI.jpg,false,Drama,,Ride the Snake,en,2025-01-01,0.328,,Desconocido,2025-03-14T15:52:11.409Z
c45f9f7a29,La luz que imaginamos,PELICULAS,2024,All.We.Imagine.As.Light.2024.1080p.sub.mp4,1080p,Desconocido,true,https://www.innovatv.store/contenido/PELICULAS/All We Imagine As Light/All.We.Imagine.As.Light.2024.1080p.sub.mp4,https://image.tmdb.org/t/p/original/q6u2qFg3kFnqZgzozVEeYOjlTro.jpg,false,Drama,"En Mumbai, la rutina de la enfermera Prabha se ve alterada cuando recibe un regalo inesperado de su marido separado. Su compañera de piso más joven, Anu, intenta en vano encontrar un lugar en la ciudad para intimar con su novio. Un viaje a una ciudad costera les permite encontrar un espacio para que sus deseos se manifiesten.",പ്രഭയായ് നിനച്ചതെല്ലാം,ml,2024-09-21,3.989,13,10+,2025-03-14T15:52:13.194Z
5fde61cf7e,Separated,PELICULAS,2024,Separated.2024.1080p.WEBRipsub.mp4,1080p,Desconocido,true,https://www.innovatv.store/contenido/PELICULAS/Separated/Separated.2024.1080p.WEBRipsub.mp4,https://image.tmdb.org/t/p/original/sKLwSS9BRUnyyTKXRmlq3ODskYP.jpg,false,Documental,,Separated,en,2024-10-04,0.146,0,Infantil,2025-03-14T15:52:14.989Z
9257f84890,Ninja Assassin,PELICULAS,2009,Ninja.Assassin.2009.1080p.sub.mp4,1080p,Desconocido,true,https://www.innovatv.store/contenido/PELICULAS/Ninja Assassin/Ninja.Assassin.2009.1080p.sub.mp4,https://image.tmdb.org/t/p/original/5twFaR5A1Y9C3KAt6uy6iq332m0.jpg,false,"Acción,Aventura,Suspense","Ninja Assassin narra la historia de Raizo (Rain), uno de los mejores asesinos del mundo. Raizo es un niño de la calle transformado en una máquina entrenada por el Clan Ozunu, una sociedad secreta la cual se cree que es un mito. El asesinato de uno de los amigos de Raizo por el mismo Clan hace que él huya y desaparezca. Ahora el espera el momento indicado para la venganza. En Berlin, la agente de Europol Mika Coretti (Naomie Harris) ha chocado con una pista que demuestra que asesinatos políticos tienen vinculación con asesinos del Lejano Oriente. Desafiando las ordenes de su superior, Ryan Maslow (Ben Miles), Mika investiga mas a fondo para saber la verdad detrás de los asesinatos. Este descubrimiento la convierte en un blanco del Clan Ozunu y asesinos son enviados tras ella liderados por el letal Takeshi (Rick Yune), para silenciarla para siempreto. Raizo salva a Mika de sus atacantes, pero ahora el sabe que el Clan no descansará hasta que ambos sean eliminados.",Ninja Assassin,en,2009-09-29,3.79,17,16+,2025-03-14T15:52:16.650Z
f909af7abd,ఓమ్ భీమ్ బుష్,PELICULAS,2024,Om.Bheem.Bush.2024.1080p.sub.mp4,1080p,Desconocido,true,https://www.innovatv.store/contenido/PELICULAS/Om Bheem Bush/Om.Bheem.Bush.2024.1080p.sub.mp4,https://image.tmdb.org/t/p/original/x1dtomYuwo0vkeXyu6GY1OSxO7L.jpg,false,"Comedia,Terror",,ఓమ్ భీమ్ బుష్,te,2024-03-21,0.171,,Desconocido,2025-03-14T15:52:18.437Z
ca4c2d8f85,笑傲江湖,PELICULAS,2025,Invincible.Swordsman.2025.1080p.sub.mp4,1080p,Desconocido,true,https://www.innovatv.store/contenido/PELICULAS/Invincible Swordsman/Invincible.Swordsman.2025.1080p.sub.mp4,https://image.tmdb.org/t/p/original/7Xzf7IHltlUHosVKKW7cKWtTv1n.jpg,false,"Drama,Acción",,笑傲江湖,zh,2025-01-23,0.651,,Desconocido,2025-03-14T15:52:20.214Z
13c06a7f04,The Fire Inside,PELICULAS,2024,La fuerza de una campeona (2024) WEB-DL LIGERO 1080p Latino.mp4,1080p,latino,false,https://www.innovatv.store/contenido/PELICULAS/The Fire Inside/La fuerza de una campeona (2024) WEB-DL LIGERO 1080p Latino.mp4,https://image.tmdb.org/t/p/original/dMorkoCdZJ1xmKv0VAXcpUax6Ar.jpg,false,"Historia,Drama","Claressa Shields, estudiante de secundaria de Flint, Michigan, con la ayuda de su firme entrenador, Jason Crutchfield, supera todas las limitaciones para convertirse en la primera mujer estadounidense en ganar una medalla de oro olímpica en boxeo. Pero incluso en la cima del éxito, Claressa debe reconocer que no todos los sueños son iguales, y que la verdadera lucha apenas comienza.",The Fire Inside,en,2024-12-25,1.417,13,13+,2025-03-14T15:52:22.197Z
